datetime,date,hour,aqi,co,pm2_5,pm10,no2,so2,o3,temperature,humidity,wind_speed,pressure,rainfall
2023-11-28 11:30:00,2023-11-28,11,5.0,4753.11,377.23,438.26,91.85,90.6,6.62,18.6,54.48,1.23,99.09,2.24
2023-11-28 12:30:00,2023-11-28,12,5.0,2456.67,203.29,229.06,97.33,122.07,22.89,18.6,54.48,1.23,99.09,2.24
2023-11-28 13:30:00,2023-11-28,13,5.0,2483.37,195.7,222.24,104.19,139.24,25.75,18.6,54.48,1.23,99.09,2.24
2023-11-28 14:30:00,2023-11-28,14,5.0,3070.83,240.21,274.78,130.24,185.01,20.74,18.6,54.48,1.23,99.09,2.24
2023-11-28 15:30:00,2023-11-28,15,5.0,4219.06,328.21,380.56,156.28,204.09,10.37,18.6,54.48,1.23,99.09,2.24
2023-11-28 16:30:00,2023-11-28,16,5.0,5661.01,426.39,501.63,164.51,185.01,2.57,18.6,54.48,1.23,99.09,2.24
2023-11-28 17:30:00,2023-11-28,17,5.0,6942.75,497.94,591.86,161.77,167.85,0.17,18.6,54.48,1.23,99.09,2.24
2023-11-28 18:30:00,2023-11-28,18,5.0,7690.43,540.43,652.0,150.8,152.59,0.0,18.6,54.48,1.23,99.09,2.24
2023-11-28 19:30:00,2023-11-28,19,5.0,7797.24,564.6,697.5,128.87,129.7,0.0,18.6,54.48,1.23,99.09,2.24
2023-11-28 20:30:00,2023-11-28,20,5.0,7690.43,570.31,719.92,104.19,107.77,0.0,18.6,54.48,1.23,99.09,2.24
2023-11-28 21:30:00,2023-11-28,21,5.0,7263.18,555.33,710.47,82.94,89.65,0.0,18.6,54.48,1.23,99.09,2.24
2023-11-28 22:30:00,2023-11-28,22,5.0,6782.53,522.3,675.52,68.55,76.29,0.0,18.6,54.48,1.23,99.09,2.24
2023-11-28 23:30:00,2023-11-28,23,5.0,5874.63,454.32,571.15,58.95,59.6,0.0,18.6,54.48,1.23,99.09,2.24
2023-11-29 00:30:00,2023-11-29,0,5.0,4646.3,366.72,453.72,52.09,41.96,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 01:30:00,2023-11-29,1,5.0,3738.4,314.61,376.44,44.55,35.29,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 02:30:00,2023-11-29,2,5.0,3177.64,291.17,334.81,38.04,32.42,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 03:30:00,2023-11-29,3,5.0,2883.91,285.65,321.36,33.59,31.47,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 04:30:00,2023-11-29,4,5.0,2803.8,291.32,324.24,31.87,31.95,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 05:30:00,2023-11-29,5,5.0,2937.32,301.84,336.65,32.9,34.33,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 06:30:00,2023-11-29,6,5.0,3417.97,328.73,378.96,35.99,41.96,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 07:30:00,2023-11-29,7,5.0,4699.71,391.13,467.96,42.16,58.17,0.01,18.52,58.2,1.09,99.12,0.09
2023-11-29 08:30:00,2023-11-29,8,5.0,5821.23,433.46,528.98,49.35,70.57,0.39,18.52,58.2,1.09,99.12,0.09
2023-11-29 09:30:00,2023-11-29,9,5.0,6034.85,421.55,522.71,59.63,75.34,2.26,18.52,58.2,1.09,99.12,0.09
2023-11-29 10:30:00,2023-11-29,10,5.0,5981.45,402.84,511.46,82.94,78.2,7.51,18.52,58.2,1.09,99.12,0.09
2023-11-29 11:30:00,2023-11-29,11,5.0,5233.76,358.44,459.61,113.79,80.11,23.25,18.52,58.2,1.09,99.12,0.09
2023-11-29 12:30:00,2023-11-29,12,5.0,1214.98,127.75,147.86,56.21,96.32,83.68,18.52,58.2,1.09,99.12,0.09
2023-11-29 13:30:00,2023-11-29,13,5.0,787.73,83.24,93.71,35.64,60.08,107.29,18.52,58.2,1.09,99.12,0.09
2023-11-29 14:30:00,2023-11-29,14,4.0,734.33,73.75,82.8,33.59,53.88,111.58,18.52,58.2,1.09,99.12,0.09
2023-11-29 15:30:00,2023-11-29,15,5.0,1068.12,91.68,105.8,56.89,69.62,86.55,18.52,58.2,1.09,99.12,0.09
2023-11-29 16:30:00,2023-11-29,16,5.0,1869.2,128.85,154.37,105.56,92.51,35.05,18.52,58.2,1.09,99.12,0.09
2023-11-29 17:30:00,2023-11-29,17,5.0,2830.51,166.43,204.39,139.83,108.72,1.86,18.52,58.2,1.09,99.12,0.09
2023-11-29 18:30:00,2023-11-29,18,5.0,4753.11,247.92,316.69,150.8,127.79,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 19:30:00,2023-11-29,19,5.0,7156.37,374.64,486.3,154.91,143.05,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 20:30:00,2023-11-29,20,5.0,8758.54,486.46,627.05,148.06,150.68,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 21:30:00,2023-11-29,21,5.0,9078.98,527.98,670.41,135.72,137.33,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 22:30:00,2023-11-29,22,5.0,8438.11,508.34,632.08,124.75,108.72,0.0,18.52,58.2,1.09,99.12,0.09
2023-11-29 23:30:00,2023-11-29,23,5.0,7049.56,443.0,533.16,120.64,80.11,0.0,18.52,58.2,1.09,99.12,0.09
